,track_id,bodypump_release_number,track_title,track_type_id,muscle_group,difficulty,enjoyment,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated
108,9205,92,WALK OF SHAME,05,TRICEPS,6,3,,,,,,,,
109,9407,94,WE MAKE IT BOUNCE,07,LUNGES,6,1,4:13,253.0,133.0,111.0,1.9022556390977443,7995.0,0.6586034556409808,12139.322883173954
110,9602,96,BLOW YOUR MIND,02,SQUATS,6,3,6:12,372.0,122.0,0.0,3.0491803278688523,6980.0,1.035524410698583,6740.546072971055
111,10702,107,DREAMER (MATISSE _ SADKO REMIX),02,SQUATS,6,4,6:13,373.0,116.0,24.0,3.2155172413793105,6360.0,1.0920136687349304,5824.1029229678925
112,9405,94,LIPS ARE MOVIN',05,TRICEPS,6,3,4:42,282.0,129.0,0.0,2.186046511627907,8750.0,0.8054983497111579,10862.840380911575
113,10206,102,ALL THE WAY UP (REMIX),06,BICEPS,6,5,,,,,,,,
114,10903,109,SATISFIED,03,CHEST,6,5,5:22,322.0,104.0,24.0,3.0961538461538463,5380.0,1.135693368795255,4737.194165100313
115,13104,131,SELECTA,04,BACK,6,3,,,,,,,,
116,9604,96,THE THRILL,04,BACK,6,2,5:29,329.0,107.0,0.0,3.074766355140187,4935.0,0.8388260225513203,5883.2223456659285
117,10205,102,DRUM,05,TRICEPS,6,3,,,,,,,,
118,9606,96,WOBBLE,06,BICEPS,6,4,4:30,270.0,147.0,97.0,1.836734693877551,8335.0,0.5397726075261783,15441.687636206629
119,11704,117,THE WOLF AND CAGE,04,BACK,6,2,5:30,330.0,104.0,0.0,3.173076923076923,4820.0,0.8656460970390204,5568.095341141162
120,11202,112,STARRY EYES,02,SQUATS,6,4,,,,,,,,
121,12303,123,CLAP SNAP,03,CHEST,5,5,5:33,333.0,136.0,72.0,2.448529411764706,7480.0,0.8981396772953342,8328.325970995224
122,8504,85,THE RHYTHM OF THE NIGHT,04,BACK,6,1,,,,,,,,
123,10006,100,WHO'S WITH ME,06,BICEPS,6,4,,,,,,,,
